11870	http://11870.com/	http://11870.com/api/	http://11870.com/api	http://11870.com/interaction	Search	REST 		OAuth with API Key
AudioBox.fm	http://icorete.ch	https://audiobox.fm/api/v1	http://audiobox.fm/apidocs	claudio@audiobox.fm	Music	REST 		Basic Authentication over SSL, OAuth2, Auth Token
Auphonic	http://auphonic.com/	https://auphonic.com/api/	https://auphonic.com/api-docs/index.html	info@auphonic.com	Tools	REST 		HTTP Basic Authentication, OAuth 2
Australia Post SecurePay	http://www.securepay.com.au/	https://api.securepay.com.au/xmlapi/	https://auspost.com.au/devcentre/assets/pdfs/pac-pcs-technical-specification.pdf	info@auspost.com.au	Payments	REST 		HTTP Basic Authentication
Avatars.io	http://getchute.com/	http://avatars.io/	http://avatars.io/	hello@getchute.com	Tools	REST 		OAuth
awe.sm	http://totally.awe.sm/	http://api.awe.sm/	http://developers.awe.sm/	developers@awe.sm	Social	REST 		API Key
AzonMobile QR Code	http://azonmobile.com	https://azonmobile.com/xml_server.php	http://azonmobile.com/en/help/API	sales@azonmobile.com	Advertising	HTTP 		API Key
Baconfile	http://baconfile.com	http://baconfile.com/	http://baconfile.com/api/	bacon@baconfile.com	Storage	REST 		HTTP Basic Auth
Bandpage	https://www.bandpage.com/	https://api-read.bandpage.com/	https://developers.bandpage.com/docs	api@bandpage.com	Music	REST 		OAuth2 access token
Bandsintown	http://www.bandsintown.com	http://api.bandsintown.com/	http://www.bandsintown.com/api/overview	biz@bandsintown.com	Music	XML 		App ID, Basic app ID
Bank Account Checker	http://www.bankaccountchecker.com/	http://www.bankaccountchecker.com/listener.php	https://www.bankaccountchecker.com/	al@bankaccountchecker.com	Financial	REST 		API Key, User Password
BayWeb Cloud-EMS	http://www.bayweb.com/	http://api.bayweb.com/v2/	http://www.bayweb.com/commercial/cloud-ems/	support@bayweb.com	Tools	REST 		API Key
Beats Music	https://www.beatsmusic.com/	https://partner.api.beatsmusic.com/v1/	https://developer.beatsmusic.com/docs	hi@beatsmusic.com	Music	REST 		HTTP Basic Authentication over SSL
Bebo	http://www.bebo.com	http://apps.bebo.com	http://developer.bebo.com/	http://www.bebo.com/ContactUs.jsp	Social	REST 		API Key
Beintoo	http://www.beintoo.com/home.html	https://api.beintoo.com/api/rest/	http://documentation.beintoo.com/home/api-docs	info@beintoo.com	Tools	REST 		API Key
BellaDati	http://www.belladati.com/	https://service.belladati.com/api	http://support.belladati.com/techdoc/Developer+Tools	support@belladati.com	Tools	REST 		OAuth
Big Media Scraper	http://www.bigimtoolbox.com/	http://app.bigmediascraper.com/api/	http://www.bigimtoolbox.com/apidocs/big-media-scraper-api	support@bigimtoolbox.com	Media	REST 		API Key, HTTP Basic Auth
Bikko	http://www.bikko.net/	http://bikko.net/route/	http://bikko.net/events/6/details	http://www.bikko.net/about	Sports	REST 		Public
Billogram	http://www.billogram.com	https://api.billogram.com	https://express.billogram.com/developers/	hej@billogram.com	Financial	REST 		HTTP Basic Authentication
Bim.im	http://bim.im	http://bim.im/api.php?f=[function]	http://bim.im/page/API/	contact@bim.im	Tools	REST 		API Key, User Password
BioBricks Public Agreement	http://biobricks.org	https://biobricks.org/api/contributions	https://biobricks.org/bpa/developers/	contact@biobricks.org	Science	REST 		API Key
BioCyc	http://biocyc.org/	http://websvc.biocyc.org/getxml?	http://ecocyc.org/web-services.shtml	biocyc-support@ai.sri.com	Science	REST 		Public
BioDOM	http://bibiserv.techfak.uni-bielefeld.de/	http://bibiwsserv.techfak.uni-bielefeld.de/biodomws/axis/AlignmentML	http://bibiserv.techfak.uni-bielefeld.de/biodomws/webservice.html	bibi-help@techfak.uni-bielefeld.de	Science	SOAP 		None
BiologicalNetworks	http://www.biologicalnetworks.net	http://biologicalnetworks.net/	http://biologicalnetworks.net/doc/api.php	http://biologicalnetworks.net/bug/index.php	Science	XML 		None
Bit-Pay	https://bit-pay.com/home.html	https://bit-pay.com:8443	https://bitpay.com/bitcoin-payment-gateway-api	info@bit-pay.com 	Financial	REST 		Basic Authentication over SSL
Bitcasa	http://bitcasa.com/	https://developer.api.bitcasa.com/v1/	https://developer.bitcasa.com/	bizdev@bitcasa.com	Storage	REST 		API Key
Bitcasa CloudFS	Bitcasa	server.example.com	Bitcasa CloudFS APIs	platform@bitcasa.com	Storage	REST 		Other/Custom
Bitcoin Payflow	http://bitcoinpayflow.com/	https://www.bitcoinpayflow.com	http://bitcoinpayflow.com/	support@bitcoinpayflow.com	Payments	REST 		Unique address token
BitInstant	https://www.bitinstant.com/	https://www.bitinstant.com/api/json/$Method	https://www.bitinstant.com/api	info@bitinstant.com	Financial	REST 		Basic Authentication over SSL
BitMinter	https://bitminter.com/	https://bitminter.com/api/pool/	https://bitminter.com/api	https://bitminter.com/contact	Financial	REST 		Public
BlazeMeter	http://blazemeter.com/	http://a.blazemeter.com/api/rest/blazemeter/	http://community.blazemeter.com/knowledgebase/articles/69998-api-getting-started	info@blazemeter.com	Cloud	REST 		API Key
Blocksi	http://www.block.si/	http://api.block.si	http://www.block.si/	support@block.si	Tools	REST 		API Key
BlogCatalog	http://www.blogcatalog.com	http://api.blogcatalog.com/	http://www.blogcatalog.com/api/	webmaster@blogcatalog.com	Search	REST 		API Key
BlueTarp Authorization	https://bluetarp.com/index	https://integration.bluetarp.com/auth/	https://bluetarp.com/developer/api	api-support@bluetarp.com	Payments	REST 		HTTP Basic Authentication over TLS/SSL
Bluevia Mobile Payment	http://www.bluevia.com	https://api.bluevia.com/services/RPC/Payment/payment 	http://labs.bluevia.com/en/page/tech.APIs.PaymentAPI	support@bluevia.com	Payments	REST 		OAuth, API Key
Bookleteer	http://bookleteer.com/	http://bookleteer.com/api/	http://bookleteer.com/blog/faq/	bookleteer@bookleteer.com	Entertainment	REST 		API Key
Boom test uitgevers	http://www.boomtestuitgevers.nl/	https://account.boomtestuitgevers.nl/	https://account.boomtestuitgevers.nl/api.html	thijs@fngtps.com	Education	REST 		HTTP Basic Authentication
BoxBilling	http://www.boxbilling.com/	http://www.yourdomain.com/api	http://www.boxbilling.com/docs/api.html	info@boxbilling.com	Financial	REST 		Basic Authentication over HTTP
Boxcar	http://boxcar.io	http://boxcar.io/help/api/providers	http://boxcar.io/help/api/providers	info@boxcar.io	Social	REST 		API Key, API URL, email address of Boxcar users
Breezy	https://www.breezy.com/	api.breezy.com	http://www.breezy.com/developers/	dev@breezy.com	Tools	REST 		oAuth2
Brownbook OpenSearch	http://www.brownbook.net/	http://www.brownbook.net/business/search/	http://help.brownbook.net/opensearch/	jerry@brownbook.net	Search	REST 		Public
Bter	http://www.bter.com	https://bter.com/api/1	https://bter.com/api	support@bter.com	Financial	REST 		HTTP Basic Authentication over SSL, WAF, Google TOTP
buddyfetch	http://www.buddyfetch.com/	http://www.buddyfetch.com/index.php	http://www.buddyfetch.com/api.php	info@buddyfetch.com	Social	REST 		API Key
Buffer	http://www.bufferapp.com	https://api.bufferapp.com/1	http://bufferapp.com/developers/api	api@bufferapp.com	Social	REST 		API Token
Bugrocket	https://www.bugrocket.com/	https://account.bugrocket.com/api/v1/path	http://developer.bugrocket.com/	hello@bugrocket.com	Tools	REST 		HTTP Basic Authentication over SSL
BugSnag	http://www.bugsnag.com	https://api.bugsnag.com	https://bugsnag.com/docs/api	support@bugsnag.com	Tools	REST 		HTTP Basic Authentication over SSL, API Toeksns
Buildasearch	http://www.buildasearch.com	http://buildasearch.com/services	http://www.buildasearch.com	diego@earthoid.com	Search	REST 		API Key
Burstly	http://www.burstly.com/	http://req.appads.com/scripts/ConfirmDownload.aspx	http://support.burstly.com/customer/portal/articles/888634-download-tracking-api	support@burstly.com	Advertising	REST 		API Key
Buyvite Transaction	http://buyvite.com/	https://buyvite.com/api/transact.aspx	http://buyvite.com/api/default.aspx	info@buyvite.com	Payments	HTTP 		HTTP basic authentication over SSL
BuzzSumo	http://buzzsumo.com/	http://api.buzzsumo.com/	http://buzzsumo.com/knowledge/buzzsumo-api	team@buzzsumo.com	Media	REST 		API Key
Byte Plant Address Verification Online	http://www.byteplant.com/	http://api.address-validator.net/api/verify 	Address Verification Online API	 support@byteplant.com	Addresses	HTTP 		API Key
BYU Academic	http://www.byu.edu/	https://ws.byu.edu/rest/v1/academic/	https://developer.byu.edu/wiki/display/SOA/Academic	it@byu.edu	Education	REST 		Some public, some proprietary authorization
BYU Entrance Exams	http://www.byu.edu/	https://ws.byu.edu/rest/v1.0/academic/records/	https://developer.byu.edu/wiki/display/SOA/Exam+Credit_v1.0	info@byu.edu	Education	REST 		Proprietary network authorizations
Calais	http://www.opencalais.com	http://api.opencalais.com/enlighten/?wsdl	http://www.opencalais.com/documentation/calais-web-service-api	questions@opencalais.com	Other	HTTP 		API Key
Campus Notes	http://getcampusnotes.com/	http://getcampusnotes.com/api/	http://getcampusnotes.com/api	support@getcampusnotes.com	Education	REST 		OAuth
CD Universe	http://www.cduniverse.com	http://www.cduniverse.com/datafeed/ws.asp?	http://www.cduniverse.com/partner/partner_webservices.asp	partners@cduniverse.com	Music	REST 		API Key
Chalkable	https://chalkable.com/	https://chalkable.com/WebServices	https://chalkable.com/Account/Developers	info@chalkable.com	Education	REST 		API Key
ChargeBee	http://www.chargebee.com/	https://{site}.chargebee.com/api/v1/	https://apidocs.chargebee.com/docs/api	support@chargebee.com	Payments	REST 		API Key, HTTP Basic Auth
ChEMBL	http://www.ebi.ac.uk	http://www.ebi.ac.uk/chemblws	https://www.ebi.ac.uk/chembldb/index.php/ws	https://www.ebi.ac.uk/support/index.php	Science	REST 		Public
Chemical Identifier Resolver	http://cactus.nci.nih.gov/	http://cactus.nci.nih.gov/chemical/structure/	http://cactus.nci.nih.gov/chemical/structure	sitzmann@helix.nih.gov	Science	REST 		Public
ChemSpider	http://www.rsc.org/	http://www.chemspider.com/Search.asmx	http://www.chemspider.com/AboutServices.aspx?	chemspider@rsc.org	Science	SOAP 		HTTP Basic Authentication, Security Token
ChromA	http://bibiserv.techfak.uni-bielefeld.de/	http://bibiwsserv.techfak.uni-bielefeld.de/ChromA/axis/ChromAPort	http://bibiserv.techfak.uni-bielefeld.de/chroma/webservice.html	bibi-help@techfak.uni-bielefeld.de	Science	SOAP 		None
CicerOOs Semantic Graph	http://www.ciceroos.it	http://api.ciceroos.com/development/	http://www.ciceroos.it/developers	staff@ciceroos.com	Travel	HTTP 		API Key
CIPF RENATO	http://bioinfo.cipf.es/	http://ws.bioinfo.cipf.es/cellbase/rest/	http://bioinfo.cipf.es/docs/renato/restful_web_services	info@bioinfo.cipf.es	Science	REST 		Public
CircleCI	https://circleci.com	https://circleci.com/api/v1	https://circleci.com/docs	sayhi@circleci.com	Tools	REST 		API Token
cisimple	https://www.cisimple.com/	https://www.cisimple.com/jobs.json	https://www.cisimple.com/api	dave@cisimple.com	Tools	REST 		API Token
CitizenNet	https://citizennet.com	https://citizennet.com/api/	https://www.assembla.com/spaces/citizennet/wiki	info@citizennet.com	Advertising	REST 		API Key
Cleanify	http://cleanify.net	http://cleanify.net/Api/Rewrite	http://cleanify.net/api	info@cleanify.net	Tools	REST 		None
Clever	https://getclever.com/	https://api.getclever.com/	https://clever.com/developers/docs/	info@getclever.com	Education	REST 		HTTP Basic Authentication, API Key
Clickworker	http://www.clickworker.com/en	https://api.clickworker.com/api/marketplace/v2/	http://www.clickworker.com/en/api/	helpdesk@clickwoâ€‹rker.com	Social	REST 		HTTP Basic Authentication
CliFlo	http://www.niwa.co.nz/	http://cliflo.niwa.co.nz/pls/niwp/	http://cliflo.niwa.co.nz/	cliflo@niwa.co.nz	Weather	REST 		HTTP Basic Authentication
Cloudant	https://cloudant.com/	https://cloudant.com/api/	https://cloudant.com/for-developers/	support@cloudant.com	Tools	REST 		Basic Authentication over SSL
CloudHarmony	http://www.cloudharmony.com/	http://api.cloudharmony.com/	http://api.cloudharmony.com/	info@cloudharmony.com	Cloud	SOAP 		Public
Club Speed	http://www.clubspeed.com/	http://97.67.180.38:8080/api/index.php/	http://97.67.180.38:8080/api/	support@clubspeed.com	Sports	HTTP 		API Key
CO-OPS	http://tidesandcurrents.noaa.gov/	http://opendap.co-ops.nos.noaa.gov/axis/webservices/waterlevelrawsixmin/wsdl	http://opendap.co-ops.nos.noaa.gov/	COOPS.IOOS@noaa.gov	Science	SOAP 		None
CoinDesk	http://www.coindesk.com/	http://api.coindesk.com/v1/bpi/	API Documentation	contact@coindesk.com	Financial	REST 		Unspecified
Coinkite	http://www.coinkite.com	https://api.coinkite.com/PATH	https://docs.coinkite.com/api/index.html	support@coinkite.com	Financial	REST 		HTTP Basic Auth
Collins Indicate	http://www.collinsindicate.com/	https://www.app.collinsindicate.com/services/en-us 	http://staging.services.collinsindicate.com/en-us/docs/api/rest	ask@collinsindicate.com	Tools	REST 		HTTP Basic Authentication
Compassion International	http://www.compassion.com	https://api2.compassion.com/us/1/	http://developer.compassion.com/	info@compassion.com	Tools	REST 		API Key
Compendium	http://www.compendium.com/	https://api.compendiumblog.com/app/	http://docs.eng.compendiumblogware.com/node/1	info@compendium.com	Media	REST 		API Key
Console.fm	http://www.console.fm	http://console.fm/api/v2	http://console.fm/api	alex@console.fm	Music	REST 		API Key
ConvertAPI Web2PDF	http://www.convertapi.com/	http://do.convertapi.com/web2pdf	http://www.convertapi.com/web-pdf-api	support@baltsoft.com	Tools	REST 		API Key
ConvertAPI Word2PDF	http://www.convertapi.com	http://do.convertapi.com/Word2Pdf	http://www.convertapi.com/word-pdf-api	support@baltsoft.com	Tools	REST 		API Key
ConvertAPI Xps2PDF	http://www.convertapi.com	http://do.convertapi.com/Xps2Pdf	http://www.convertapi.com/xps-pdf-api	support@baltsoft.com	Tools	REST 		API Key
CopasiWS	http://www.comp-sys-bio.org/tiki-index.php	http://services.copasiws.copasi.org/modelprocessorws.wsdl	http://www.comp-sys-bio.org/CopasiWS/	none given	Science	SOAP 		None
CopperEgg	http://copperegg.com/	https://api.copperegg.com/v2/	http://copperegg.com/api/	info@copperegg.com	Tools	REST 		API Key
CORE	http://core.kmi.open.ac.uk/	http://core.kmi.open.ac.uk/api/	http://core.kmi.open.ac.uk/intro/api	p.knoth@open.ac.uk	Education	HTTP 		API Key
Coret Genealogy Online	http://www.coret.org/	http://api.coret.org/scanszoeken/v1/	http://api.coret.org/laatste_nieuws.php	http://www.coret.org/cc/abt/feedback.php	Search	REST 		API Key
Credit-Agricole	http://www.credit-agricole.fr/	https://www.creditagricolestore.fr/castore-data-provider/docs/V1/guide_utilisateur.html#	https://www.creditagricolestore.fr/castore-data-provider/docs/V1/rest.html	info@credit-agricole.fr	Financial	REST 		OAuth
CRONOS	http://www.nc-climate.ncsu.edu/	http://www.nc-climate.ncsu.edu/dynamic_scripts/cronos/getCRONOSdata.php?	http://www.nc-climate.ncsu.edu/cronos/api/	mark_brooks@ncsu.edu	Weather	REST 		HTTP Basic Authentication
Crossbrowser Testing	http://crossbrowsertesting.com/	http://crossbrowsertesting.com/api/	http://crossbrowsertesting.com/apidocs	info@crossbrowsertesting.com	Tools	REST 		Basic Authentication
CrowdTwist	crowdtwist.com	http://www.crowdtwist.com/docs/api	https://developers.crowdtwist.com/	api@crowdtwist.com	Advertising	JSON 		API Key and secret
Crunch	http://www.crunch.co.uk	http://api.crunch.co.uk/rest/v2	Developer Centre	api@crunch.co.uk 	Financial	XML 		Unspecified, OAuth
Culture Grid	http://www.culturegrid.org.uk/	http://culturegrid.org.uk/discover/	http://www.culturegrid.org.uk/use/	culturegrid@collectionstrust.org.uk	Search	REST 		Public
CurdBee	http://curdbee.com/	http://{subdomain}.curdbee.com/	http://curdbee.com/api/	support@curdbee.com	Financial	REST 		API Key
DalPay	https://www.dalpay.com/en/	https://secure.dalpay.is/cgi-bin/order2/poauto3.pl	https://www.dalpay.com/en/dalpayapi/	integration@dalpay.com	Payments	REST 		HTTP Basic Authentication
DaycareSocial	http://www.daycaresocial.com/	https://hub.daycaresocial.com/API/v1.0/DaycareListing.asmx	http://www.daycaresocial.com/api	api@daycaresocial.com	Social	SOAP 		API Key
DayDetails	http://geciauskas.com/	http://daydetails.com/general.php?	http://daydetails.com/about.php	info@daydetails.com	Entertainment	REST 		Public
Debitoor	https://debitoor.com/	https://api.debitoor.com/api/v1.0/	https://github.com/e-conomic/debitoor-api	team@debitoor.com	Financial	REST 		OAuth2
Debuggify	https://www.debuggify.net/	https://cdn.debuggify.net	http://developers.debuggify.net/docs/	support@debuggify.net	Tools	REST 		API Key
Decomp	http://bibiserv.techfak.uni-bielefeld.de/	http://bibiwsserv.techfak.uni-bielefeld.de/decomp/axis/decompPort	http://bibiserv.techfak.uni-bielefeld.de/decomp/webservice.html	bibi-help@techfak.uni-bielefeld.de	Science	SOAP 		None
Desire2Learn	http://www.desire2learn.com	http://targethost/d2l/api/	http://docs.valence.desire2learn.com/index.html	info@desire2learn.com	Education	REST 		API Key
Detectlanguage.com	http://detectlanguage.com/	http://ws.detectlanguage.com/0.2/detect	http://detectlanguage.com/	info@detectlanguage.com	Tools	JSON 		API Key
Diffbot Frontpage	http://www.diffbot.com	http://www.diffbot.com/api/frontpage	http://www.diffbot.com/products/automatic/frontpage/	support@diffbot.com	Tools	REST 		API Token
Digit-Eyes	http://www.digit-eyes.com/	http://digit-eyes.com/cgi-bin/	http://www.digit-eyes.com/api.html	support@digit-eyes.com	Tools	HTTP 		API Key
Digitaliser	http://digitaliser.dk/	https://api.digitaliser.dk/rest/	http://api.digitaliser.dk/rest/	info@digitaliser.dk	Social	REST 		HTTP Basic Authentication
DigitalOcean	http://digitalocean.com	https://api.digitalocean.com/	https://developers.digitalocean.com/	contact@digitalocean.com	Storage	REST 		API Key, SSH
Dirble	http://dirble.com/	http://dirble.com/dirapi/	http://dirble.com/developer/api	hakan@dun.se	Music	REST 		API Key
Discogs	http://discogs.com	http://www.discogs.com/release/1	http://www.discogs.com/developers/	http://www.discogs.com/support	Music	REST 		API Key
disdar	http://www.disdar.com	http://api.disdar.de/	http://disdar.com/api_documentation.html	info@disdar.com	Financial	REST 		API Key, HTTP Basic Authentication
Divide-and-Conquer Multiple Sequence Alignment	http://bibiserv.techfak.uni-bielefeld.de/	http://bibiwsserv.techfak.uni-bielefeld.de/DCA/axis/DCAPort	http://bibiserv.techfak.uni-bielefeld.de/dca/webservice.html	bibi-help@techfak.uni-bielefeld.de	Science	SOAP 		None
DKFZ SoapDB	http://genome.dkfz-heidelberg.de/	http://www.dkfz-heidelberg.de/menu/hobit/2005/04/SoapDB.wsdl	http://genome.dkfz-heidelberg.de/husar/index.php?id=hs_home#soapdb	Genome@DKFZ.de	Science	SOAP 		None
doctape	http://www.doctape.com	https://api.doctape.com/v1/	https://developer.doctape.com/introduction	developer@doctape.com	Media	REST 		OAuth 2.0
Docverter	http://www.docverter.com	http://c.docverter.com/convert	http://www.docverter.com/api.html	pete@petekeen.com	Tools	REST 		None
DOE Green Energy	http://energy.gov/	http://www.osti.gov/greenenergy/rdresults	http://www.osti.gov/scitech/	greenenergy@osti.gov	Search	REST 		Public
DonorsChoose	http://www.donorschoose.org/	http://api.donorschoose.org/	http://data.donorschoose.org/	apiquestion (at) donorschoose (dot) org	Education	REST 		API Key
Doximity	https://www.doximity.com/	https://www.doximity.com/api/v1/	http://developer.doximity.com/	bd@doximity.com	Social	HTTP 		OAuth 2.0
Doxument	http://doxument.com	http://api.doxument.com/	http://www.doxument.com/	support@doxument.com	Tools	REST 		API Key
Draft	https://draftin.com	https://draftin.com/api/v1/	https://draftin.com/documents/54643?token=Qq1PuS1fL8Zr9yWDSefoeUMQCfp3yr1s6g_7Sh...	nate@cityposh.com	Tools	REST 		OAuth 2.0
DragonPay	http://www.dragonpay.ph/	https://api.dragonpay.ph/Pay.aspx	http://www.dragonpay.ph/developers	support@dragonpay.ph	Payments	SOAP 		API Key
Dress Code Finder	http://dresscodefinder.com	http://dresscodefinder.com/venues/search.json	http://dresscodefinder.com/api	contact@dresscodefinder.com	Entertainment	REST 		None
Dribbble	http://dribbble.com	http://api.dribbble.com	http://dribbble.com/api	contact@dribbble.com	Other	REST 		n/a
Drillster	http://www.drillster.com	https://www.drillster.com/api/	http://www.drillster.com/info/api	info@drillster.com	Education	REST 		API Key, OAuth 2.0
Dubset MixSCAN	http://www.thefuture.fm/?ds=1#/	api.mixscan.com	http://mixscan.com/documentation.html	charlie@dubset.com	Music	REST 		HTTP Authentication
Dudu	http://www.dudu.com	http://dudu.com/api/	http://dudu.com/docs/api/js_api_module	contact@dudu.com	Social	REST 		OAuth
Duplicated Genes Database	http://www.biogenouest.org/	http://nbcr.sdsc.edu/opal	http://dgd.genouest.org/tutorial#tuto_3	support@genouest.org	Science	SOAP 		None
DVDXML	http://www.dvdxml.com	http://api.dvdxml.com	http://dvdxml.com/p/forum/forum_viewtopic.php?3193	tim@dvdxml.com	Media	REST 		HTTP Basic Authentication
e-Fungi	http://www.manchester.ac.uk/	urn:uk.org.efungi	http://beaconw.cs.manchester.ac.uk/	none given	Science	SOAP 		None
E-goi	http://www.e-goi.com/	http://api.e-goi.com/v2/	http://www.e-goi.com/en/recursos/api/	info@e-goi.com	Advertising	REST 		API Key
EarthScope Data Portal	http://www.nsf.gov/	http://portal.earthscope.org	http://www.earthscope.org/science/data/access/	http://www.earthscope.org/contacts	Science	SOAP 		None
Easywallet	https://easywallet.org/	https://easywallet.org/api/v1/new_wallet	https://easywallet.org/en/api	jeremias.kangas@gmail.com	Financial	REST 		API Key
EBI CENSOR	http://www.ebi.ac.uk/	http://www.ebi.ac.uk/WSCensor	http://www.ebi.ac.uk/Tools/webservices/services/archive/so/wscensor	http://www.ebi.ac.uk/support/index.php?query=WebServices	Science	SOAP 		None
EBI ClustalW2	http://www.ebi.ac.uk/	http://soap.jdispatcher.ebi.ac.uk	http://www.ebi.ac.uk/Tools/webservices/services/msa/clustalw2_rest	http://www.ebi.ac.uk/support/index.php?query=WebServices	Science	REST 		None
EBI ClustalW2 Phylogeny	http://www.ebi.ac.uk/	http://soap.jdispatcher.ebi.ac.uk	http://www.ebi.ac.uk/Tools/webservices/services/phylogeny/clustalw2_phylogeny_so...	http://www.ebi.ac.uk/support/index.php?query=WebServices	Science	REST 		None
EBI DaliLite	http://www.ebi.ac.uk/	http://www.ebi.ac.uk/WSDaliLite	http://www.ebi.ac.uk/Tools/webservices/services/archive/structure/wsdalilite	http://www.ebi.ac.uk/support/index.php?query=WebServices	Science	SOAP 		None
EBI InterProScan	http://www.ebi.ac.uk/	http://soap.jdispatcher.ebi.ac.uk	http://www.ebi.ac.uk/Tools/webservices/services/pfa/iprscan_rest	http://www.ebi.ac.uk/support/index.php?query=WebServices	Science	REST 		None
EBI Kalign	http://www.ebi.ac.uk/	http://soap.jdispatcher.ebi.ac.uk	http://www.ebi.ac.uk/Tools/webservices/services/msa/kalign_rest	http://www.ebi.ac.uk/support/index.php?query=WebServices	Science	REST 		None
EBI Lalign	http://www.ebi.ac.uk/	http://soap.jdispatcher.ebi.ac.uk	http://www.ebi.ac.uk/Tools/webservices/services/psa/lalign_soap	http://www.ebi.ac.uk/support/index.php?query=WebServices	Science	REST 		None
EBI MAFFT	http://www.ebi.ac.uk/	http://soap.jdispatcher.ebi.ac.uk	http://www.ebi.ac.uk/Tools/webservices/services/msa/mafft_rest	http://www.ebi.ac.uk/support/index.php?query=WebServices	Science	REST 		None
